						B-Baseline
			Spectral	Data	File	
		1.0				
						
						
						
						
		4096.0				
		1.0				
						
						
						
		0.01				
		-0.4				
						
		40.0				
		30.0				
		39.742022				
		50.0				
		607000.0				
		100.0				
		0.0				
		0.0				
		45.0				
		0.0				
		0.0				
		0.0				
		4.0				
2.11	39.0					-39.67728559409038
2.12	38.0					-40.72309368242833
2.13	37.0					-41.76890177076628
2.14	34.0					-44.81470985910424
2.15	24.0					-54.86051794744219
2.16	33.0					-45.90632603578014
2.17	29.0					-49.95213412411809
2.18	22.0					-56.99794221245605
2.19	31.0					-48.043750300794
2.2	38.0					-41.08955838913195
2.21	22.0					-57.135366477469915
2.22	28.0					-51.181174565807865
2.23	29.0					-50.226982654145814
2.24	46.0					-33.27279074248378
2.25	62.0					-17.318598830821728
2.26	66.0					-13.364406919159677
2.27	61.0					-18.410215007497627
2.28	87.0					7.54397690416441
2.29	111.0					31.49816881582646
2.3	108.0					28.45236072748851
2.31	105.0					25.406552639150547
2.32	121.0					41.3607445508126
2.33	126.0					46.31493646247465
2.34	95.0					15.269128374136699
2.35	114.0					34.223320285798735
2.36	113.0					33.177512197460786
2.37	133.0					53.131704109122836
2.38	108.0					28.085896020784872
2.39	97.0					17.040087932446923
2.4	89.0					8.994279844108974
2.41	73.0					-7.05152824422899
2.42	89.0					8.90266366743306
2.43	68.0					-12.143144420904889
2.44	85.0					4.811047490757161
2.45	77.0					-3.2347605975808023
2.46	79.0					-1.2805686859187517
2.47	69.0					-11.326376774256701
2.48	72.0					-8.372184862594665
2.49	75.0					-5.417992950932614
2.5	61.0					-19.463801039270564
2.51	51.0					-29.509609127608513
2.52	47.0					-33.55541721594648
2.53	55.0					-25.601225304284426
2.54	41.0					-39.647033392622376
2.55	54.0					-26.69284148096034
2.56	44.0					-36.73864956929829
2.57	61.0					-19.78445765763624
2.58	80.0					-0.8302657459742022
2.59	90.0					9.123926165687848
2.6	101.0					20.0781180773499
2.61	138.0					57.032309989011935
2.62	141.0					59.986501900673986
2.63	177.0					95.94069381233604
2.64	241.0					159.89488572399807
2.65	301.0					219.84907763566014
2.66	335.0					253.80326954732217
2.67	386.0					304.7574614589842
2.68	435.0					353.7116533706463
2.69	443.0					361.6658452823083
2.7	461.0					379.62003719397035
2.71	460.0					378.5742291056324
2.72	449.0					367.5284210172945
2.73	443.0					361.4826129289565
2.74	365.0					283.43680484061855
2.75	368.0					286.39099675228056
2.76	257.0					175.34518866394262
2.77	229.0					147.2993805756047
2.78	249.0					167.25357248726672
2.79	221.0					139.20776439892876
2.8	214.0					132.16195631059082
2.81	252.0					170.11614822225286
